startup_id,industry,sub_industry,target_audience,customer_type,problem_solved,technology_used,business_model,revenue_model,market_size_category,market_growth_category,competition_level,founded_year,founded_country,geographic_market,total_funding_usd__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,funding_rounds__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,employee_count__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,startup_stage__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,success_label,success_indicator,leakage_warning
LL-000186,Media & Entertainment,Discounts|Entertainment|Internet|Ticketing,,,,,,,Unknown,Unknown,Medium (dataset-derived),2010.0,France,France,33457.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000198,Media & Entertainment,Curated Web|Online Dating|Social Network Media,,,,,,,Unknown,Unknown,High (dataset-derived),2010.0,United States,United States,2300000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000201,Media & Entertainment,Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media,,,,,,,Unknown,Unknown,Medium (dataset-derived),2004.0,Australia,Australia,300000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000232,Media & Entertainment,Entertainment,,,,,,,Unknown,Unknown,Medium (dataset-derived),2013.0,Australia,Australia,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000241,Media & Entertainment,Project Management|SaaS|Social Media|Software,,,,,,,Unknown,Unknown,High (dataset-derived),1999.0,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000246,MarTech,Business Services|Marketing Automation|Mobile,,,,,,,Unknown,Unknown,High (dataset-derived),2005.0,United States,United States,6000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000282,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,2014.0,,,202250.031601567,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000288,Other / Unspecified,Printing,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,3000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000295,FinTech,Finance|Software|Venture Capital,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,140000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000297,HealthTech,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,,,,,,,Unknown,Unknown,High (dataset-derived),2009.0,United States,United States,1387500.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000305,Other / Unspecified,Messaging|SMS,,,,,,,Unknown,Unknown,High (dataset-derived),2005.0,United States,United States,4000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000308,Other / Unspecified,Android|Enterprises|Mobile,,,,,,,Unknown,Unknown,Unknown,2010.0,,,1500000.0,1.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000316,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,2008.0,,,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000328,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2013.0,United States,United States,1670000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000375,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,,,,,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000379,SaaS,Cloud Computing|Messaging|Telephony|Unifed Communications,,,,,,,Unknown,Unknown,Low (dataset-derived),2002.0,Romania (non-standard code),Romania (non-standard code),6500000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000381,Other / Unspecified,Mobile,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,China,China,10000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000414,ClimateTech,Carbon|Environmental Innovation|Green|Nonprofits,,,,,,,Unknown,Unknown,Low (dataset-derived),2007.0,China,China,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000419,Other / Unspecified,,,,,,,,Unknown,Unknown,High (dataset-derived),,China,China,16000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000420,E-commerce,E-Commerce,,,,,,,Unknown,Unknown,Medium (dataset-derived),,China,China,1158814.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000421,EdTech,Education,,,,,,,Unknown,Unknown,Medium (dataset-derived),2001.0,China,China,,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000444,Other / Unspecified,Apps|Photography|Photo Sharing,,,,,,,Unknown,Unknown,High (dataset-derived),2012.0,United States,United States,,1.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000448,HealthTech,Healthcare Services|Life Sciences|Medical,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,5955000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000455,Media & Entertainment,Games,,,,,,,Unknown,Unknown,Medium (dataset-derived),2013.0,South Korea,South Korea,3987693.0,2.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000485,E-commerce,Analytics|E-Commerce|Software,,,,,,,Unknown,Unknown,High (dataset-derived),2006.0,United States,United States,6528902.0,3.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000529,SaaS,Curated Web|Task Management,,,,,,,Unknown,Unknown,Unknown,2008.0,,,,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000536,Other / Unspecified,3D,,,,,,,Unknown,Unknown,Unknown,2014.0,,,14481680.93113,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000547,MarTech,Apps|Publishing|Social Media|Social Media Marketing,,,,,,,Unknown,Unknown,Unknown,2010.0,,,1292301.0,1.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000549,Media & Entertainment,Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings,,,,,,,Unknown,Unknown,Medium (dataset-derived),2013.0,Israel,Israel,100000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000562,Other / Unspecified,Local Businesses,,,,,,,Unknown,Unknown,Medium (dataset-derived),2014.0,Singapore,Singapore,2160000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000568,E-commerce,Crowdsourcing|Design|Marketplaces|Online Shopping,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,45000000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000592,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2002.0,United States,United States,435400.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000613,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,2100002.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000614,CleanTech,Clean Technology,,,,,,,Unknown,Unknown,Medium (dataset-derived),,United Kingdom,United Kingdom,115837966.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000626,Other / Unspecified,Internet,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,15999994.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000636,Other / Unspecified,Coupons|Social Commerce,,,,,,,Unknown,Unknown,Medium (dataset-derived),,Brazil,Brazil,2500.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000641,CleanTech,Batteries|Clean Technology|Energy Storage|Mobile,,,,,,,Unknown,Unknown,High (dataset-derived),2001.0,United States,United States,502860000.0,8.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000645,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,,,,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000656,Other / Unspecified,Search,,,,,,,Unknown,Unknown,High (dataset-derived),2007.0,United States,United States,6000000.0,2.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000661,HRTech,Human Resources,,,,,,,Unknown,Unknown,High (dataset-derived),2006.0,United States,United States,20000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000662,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),1989.0,United States,United States,40000000.0,1.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000673,Other / Unspecified,3D|Rapidly Expanding,,,,,,,Unknown,Unknown,Low (dataset-derived),2012.0,United Arab Emirates,United Arab Emirates,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000678,CleanTech,Clean Technology,,,,,,,Unknown,Unknown,High (dataset-derived),2006.0,United States,United States,4211031.0,6.0,,Growth stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000684,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),1997.0,Canada,Canada,400988.0,3.0,,Public (post-IPO),1.0,IPO,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000710,Other / Unspecified,,,,,,,,Unknown,Unknown,Unknown,,,,,2.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000721,HealthTech,Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,21000000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000730,MarTech,Accounting|Consulting|CRM|Marketing Automation|Project Management,,,,,,,Unknown,Unknown,High (dataset-derived),1998.0,United States,United States,500000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000731,HealthTech,Fitness|Health and Wellness|Medical,,,,,,,Unknown,Unknown,High (dataset-derived),,Canada,Canada,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000759,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2002.0,United States,United States,13600000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000760,Cybersecurity,Information Security|Security,,,,,,,Unknown,Unknown,Low (dataset-derived),1999.0,Switzerland,Switzerland,1737170.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000774,CleanTech,Clean Technology,,,,,,,Unknown,Unknown,High (dataset-derived),2008.0,United States,United States,4500000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000776,SaaS,Analytics,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,20000000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000790,E-commerce,E-Commerce|Fashion|Lifestyle,,,,,,,Unknown,Unknown,Medium (dataset-derived),2011.0,Germany,Germany,45000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000818,FinTech,Finance,,,,,,,Unknown,Unknown,High (dataset-derived),2009.0,United States,United States,34000000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000829,E-commerce,E-Commerce,,,,,,,Unknown,Unknown,High (dataset-derived),2002.0,United States,United States,25478613.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000849,Other / Unspecified,,,,,,,,Unknown,Unknown,High (dataset-derived),2003.0,United States,United States,49300000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000879,SaaS,Enterprise Software,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000886,HealthTech,Biotechnology,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,15581502.0,2.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000904,MarTech,Advertising|Internet|Services,,,,,,,Unknown,Unknown,High (dataset-derived),1996.0,United States,United States,5500000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000937,HealthTech,Medical,,,,,,,Unknown,Unknown,High (dataset-derived),1994.0,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000949,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2005.0,United States,United States,4277507.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000950,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),1998.0,United States,United States,2100000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000958,Cybersecurity,Security,,,,,,,Unknown,Unknown,High (dataset-derived),2002.0,United States,United States,8198838.0,4.0,,Acquired,1.0,Acquired,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
