startup_id,startup_name,company_description,website,founded_year,founded_country,headquarters_country,headquarters_city,industry,sub_industry,business_category,target_audience,customer_type,problem_solved,solution_description,technology_used,business_model,revenue_model,pricing_model,revenue_stream,geographic_market,market_size_category,market_growth_category,demand_level,competition_level,competitor_count,total_funding_usd,funding_rounds,last_funding_date,last_funding_amount_usd,major_investors,employee_count,startup_stage,latest_known_valuation_usd,startup_status,acquisition_status,acquisition_date,ipo_status,ipo_date,shutdown_date,success_indicator,success_label,outcome_reason,data_quality,source,source_url,last_verified_date,possible_duplicate_flag
LL-000186,2heuresavant,,http://www.2heuresavant.com/spectacles,2010.0,France,France,Paris,Media & Entertainment,Discounts|Entertainment|Internet|Ticketing,,,,,,,,,,,France,Unknown,Unknown,Unknown,Medium (dataset-derived),135.0,33457.0,1.0,2010-07-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000198,2RedBeans,,http://www.2redbeans.com/en,2010.0,United States,United States,Dublin,Media & Entertainment,Curated Web|Online Dating|Social Network Media,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),3740.0,2300000.0,1.0,2014-10-15,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000201,2threads,,http://www.2threads.com,2004.0,Australia,Australia,Sydney,Media & Entertainment,Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media,Art,,,,,,,,,,Australia,Unknown,Unknown,Unknown,Medium (dataset-derived),44.0,300000.0,2.0,2008-06-01,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000232,365 docobites,,http://365docobites.com/,2013.0,Australia,Australia,Sydney,Media & Entertainment,Entertainment,Entertainment,,,,,,,,,,Australia,Unknown,Unknown,Unknown,Medium (dataset-derived),44.0,,1.0,2014-03-31,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000241,Basecamp,,https://basecamp.com/,1999.0,United States,United States,Chicago,Media & Entertainment,Project Management|SaaS|Social Media|Software,SaaS,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),3740.0,,1.0,2006-07-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000246,3Cinteractive,,http://www.3C.com,2005.0,United States,United States,Boca Raton,MarTech,Business Services|Marketing Automation|Mobile,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),2413.0,6000000.0,1.0,2011-03-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000282,3DIVAZ,,http://www.3divaz.ch/Home,2014.0,,,,Other / Unspecified,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,202250.031601567,1.0,2015-11-01,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000288,3DPhotoWorks,,http://www.3dphotoworks.com/,2011.0,United States,United States,Chatham,Other / Unspecified,Printing,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6495.0,3000.0,1.0,2015-11-05,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000295,3DT,,http://3dtinc.com/,2014.0,United States,United States,Scottsdale,FinTech,Finance|Software|Venture Capital,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),1903.0,140000.0,1.0,2014-08-22,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000297,3FLOZ,,http://www.3floz.com,2009.0,United States,United States,New York,HealthTech,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,Health and Wellness,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6881.0,1387500.0,2.0,2015-01-16,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000305,3Jam,,http://3jam.com,2005.0,United States,United States,San Francisco,Other / Unspecified,Messaging|SMS,Messaging,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6495.0,4000000.0,1.0,2007-07-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000308,3LM,,http://www.3lm.com,2010.0,,,,Other / Unspecified,Android|Enterprises|Mobile,Android,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,1500000.0,1.0,2010-07-01,,,,Acquired,,acquired,Acquired,,Not IPO'd,,,Acquired,1.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000316,3PointData,,http://3pointdata.com,2008.0,,,,Other / Unspecified,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,,1.0,2010-09-03,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000328,3TEN8,,http://www.3ten8.com/,2013.0,United States,United States,Santa Clara,SaaS,Software,Software,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6734.0,1670000.0,1.0,2015-04-15,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000375,4Med Centra Medyczne,,,,,,,Other / Unspecified,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,,1.0,2008-01-01,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000379,4PSA,,http://www.4psa.com,2002.0,Romania (non-standard code),Romania (non-standard code),Bucharest,SaaS,Cloud Computing|Messaging|Telephony|Unifed Communications,,,,,,,,,,,Romania (non-standard code),Unknown,Unknown,Unknown,Low (dataset-derived),6.0,6500000.0,3.0,2013-05-09,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000381,4s91.com,,http://yxb.4s91.com/,2011.0,China,China,Guangzhou,Other / Unspecified,Mobile,Mobile,,,,,,,,,,China,Unknown,Unknown,Unknown,High (dataset-derived),396.0,10000000.0,1.0,2012-02-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000414,51 Give,,http://www.51give.org,2007.0,China,China,Beijing,ClimateTech,Carbon|Environmental Innovation|Green|Nonprofits,Carbon,,,,,,,,,,China,Unknown,Unknown,Unknown,Low (dataset-derived),1.0,,1.0,2008-06-10,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000419,51CTO,,http://www.51cto.com/,,China,China,Beijing,Other / Unspecified,,,,,,,,,,,,China,Unknown,Unknown,Unknown,High (dataset-derived),396.0,16000000.0,1.0,2015-11-23,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000420,51edj,,http://www.51edj.com,,China,China,Beijing,E-commerce,E-Commerce,E-Commerce,,,,,,,,,,China,Unknown,Unknown,Unknown,Medium (dataset-derived),177.0,1158814.0,2.0,2012-12-01,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000421,51edu,,http://www.51edu.com/,2001.0,China,China,Beijing,EdTech,Education,Education,,,,,,,,,,China,Unknown,Unknown,Unknown,Medium (dataset-derived),74.0,,2.0,2010-01-01,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000444,5by,,http://www.5by.com,2012.0,United States,United States,San Francisco,Other / Unspecified,Apps|Photography|Photo Sharing,Photography,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6495.0,,1.0,2013-02-28,,,,Acquired,,acquired,Acquired,,Not IPO'd,,,Acquired,1.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000448,5i Sciences,,http://www.5isciences.com/,,United States,United States,Rancho Santa Fe,HealthTech,Healthcare Services|Life Sciences|Medical,Medical,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6881.0,5955000.0,2.0,2014-08-11,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000455,5Rocks,,http://www.5rocks.io,2013.0,South Korea,South Korea,Seoul,Media & Entertainment,Games,Games,,,,,,,,,,South Korea,Unknown,Unknown,Unknown,Medium (dataset-derived),79.0,3987693.0,2.0,2013-09-03,,,,Acquired,,acquired,Acquired,,Not IPO'd,,,Acquired,1.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000485,7 Billion People,,http://www.7bpeople.com,2006.0,United States,United States,Austin,E-commerce,Analytics|E-Commerce|Software,E-Commerce,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),1654.0,6528902.0,3.0,2012-07-13,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000529,8aweek,,http://8aweek.com,2008.0,,,,SaaS,Curated Web|Task Management,Task Management,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,,1.0,2008-03-02,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000536,8i,,http://8i.com/,2014.0,,,,Other / Unspecified,3D,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,14481680.93113,2.0,2015-10-14,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000547,909c,,http://www.909c.fr/,2010.0,,,,MarTech,Apps|Publishing|Social Media|Social Media Marketing,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,,1292301.0,1.0,2013-07-05,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000549,90sec Technologies,,http://www.90sec.me,2013.0,Israel,Israel,Tel Aviv,Media & Entertainment,Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings,Television,,,,,,,,,,Israel,Unknown,Unknown,Unknown,Medium (dataset-derived),134.0,100000.0,1.0,2013-09-01,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000562,99.co,,http://www.99.co,2014.0,Singapore,Singapore,Singapore,Other / Unspecified,Local Businesses,Local Businesses,,,,,,,,,,Singapore,Unknown,Unknown,Unknown,Medium (dataset-derived),75.0,2160000.0,2.0,2015-01-29,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000568,99designs,,http://99designs.com,2008.0,United States,United States,Oakland,E-commerce,Crowdsourcing|Design|Marketplaces|Online Shopping,Design,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),1654.0,45000000.0,2.0,2015-04-15,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000592,9Star Research,,http://www.9starinc.com,2002.0,United States,United States,Austin,SaaS,Software,Software,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6734.0,435400.0,1.0,2011-07-25,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
